coach_id,coach_url,short_name,long_name,dob,nationality_name,coach_face_url,nation_flag_url
607,/coach/607/gary-mcsheffrey/,G. McSheffrey,Gary McSheffrey,1982-08-13,England,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/gb-eng.png
611,/coach/611/mehdi-nafti/,M. Nafti,Mehdi Nafti,1978-11-28,Tunisia,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/tn.png
645,/coach/645/michael-carrick/,M. Carrick,Michael Carrick,1981-07-28,England,https://cdn.sportmonks.com/images/soccer/players/5/645.png,https://cdn.sofifa.net/flags/gb-eng.png
658,/coach/658/joey-barton/,J. Barton,Joey Barton,1982-09-02,England,https://cdn.sportmonks.com/images/soccer/players/18/658.png,https://cdn.sofifa.net/flags/gb-eng.png
684,/coach/684/nick-montgomery/,N. Montgomery,Nick Montgomery,1981-10-28,Scotland,https://cdn.sportmonks.com/images/soccer/players/12/684.png,https://cdn.sofifa.net/flags/gb-sct.png
727,/coach/727/alberto-aquilani/,A. Aquilani,Alberto Aquilani,1984-07-07,Italy,https://cdn.sportmonks.com/images/soccer/players/23/727.png,https://cdn.sofifa.net/flags/it.png
869,/coach/869/steve-morison/,S. Morison,Steve Morison,1983-08-29,Wales,https://cdn.sportmonks.com/images/soccer/players/5/869.png,https://cdn.sofifa.net/flags/gb-wls.png
904,/coach/904/russell-martin/,R. Martin,Russell Martin,1986-01-04,Scotland,https://cdn.sportmonks.com/images/soccer/players/8/904.png,https://cdn.sofifa.net/flags/gb-sct.png
912,/coach/912/steven-naismith/,S. Naismith,Steven Naismith,1986-09-14,Scotland,https://cdn.sportmonks.com/images/soccer/players/16/912.png,https://cdn.sofifa.net/flags/gb-sct.png
938,/coach/938/ryan-mason/,R. Mason,Ryan Mason,1991-06-13,England,https://cdn.sportmonks.com/images/soccer/players/10/938.png,https://cdn.sofifa.net/flags/gb-eng.png
1198,/coach/1198/kelvin-davis/,K. Davis,Kelvin Davis,1976-09-29,England,https://cdn.sportmonks.com/images/soccer/players/14/1198.png,https://cdn.sofifa.net/flags/gb-eng.png
1334,/coach/1334/shaun-maloney/,S. Maloney,Shaun Maloney,1983-01-24,Scotland,https://cdn.sportmonks.com/images/soccer/players/22/1334.png,https://cdn.sofifa.net/flags/gb-sct.png
1346,/coach/1346/patrick-mccarthy/,P. McCarthy,Patrick McCarthy,1983-05-31,Republic of Ireland,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/ie.png
1398,/coach/1398/martin-gaston-demichelis/,M. Demichelis,Martín Gastón Demichelis,1980-12-20,Argentina,https://cdn.sportmonks.com/images/soccer/players/22/1398.png,https://cdn.sofifa.net/flags/ar.png
1458,/coach/1458/michael-duff/,M. Duff,Michael Duff,1978-01-11,Northern Ireland,https://cdn.sportmonks.com/images/soccer/players/18/1458.png,https://cdn.sofifa.net/flags/gb-nir.png
1600,/coach/1600/lee-johnson/,L. Johnson,Lee Johnson,1981-06-07,England,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/gb-eng.png
1631,/coach/1631/patrick-kisnorbo/,P. Kisnorbo,Patrick Kisnorbo,1981-03-24,Australia,https://cdn.sportmonks.com/images/soccer/players/31/1631.png,https://cdn.sofifa.net/flags/au.png
1713,/coach/1713/zhi-zheng/,Z. Zheng,Zhi Zheng,1980-08-20,China PR,https://cdn.sportmonks.com/images/soccer/players/17/1713.png,https://cdn.sofifa.net/flags/cn.png
1742,/coach/1742/callum-davidson/,C. Davidson,Callum Davidson,1976-06-25,Scotland,https://cdn.sportmonks.com/images/soccer/players/14/1742.png,https://cdn.sofifa.net/flags/gb-sct.png
1749,/coach/1749/grant-mccann/,G. McCann,Grant McCann,1980-04-14,Northern Ireland,https://cdn.sportmonks.com/images/soccer/players/21/1749.png,https://cdn.sofifa.net/flags/gb-nir.png
1819,/coach/1819/gareth-ainsworth/,G. Ainsworth,Gareth Ainsworth,1973-05-10,England,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/gb-eng.png
2003,/coach/2003/johnnie-jackson/,J. Jackson,Johnnie Jackson,1982-08-15,England,https://cdn.sportmonks.com/images/soccer/players/19/2003.png,https://cdn.sofifa.net/flags/gb-eng.png
2103,/coach/2103/richard-wellens/,R. Wellens,Richard Wellens,1980-03-26,England,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/gb-eng.png
2141,/coach/2141/matthew-sadler/,M. Sadler,Matthew Sadler,1985-02-26,England,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/gb-eng.png
2508,/coach/2508/barry-robson/,B. Robson,Barry Robson,1978-11-07,Scotland,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/gb-sct.png
2733,/coach/2733/matthew-taylor/,M. Taylor,Matthew Taylor,1982-01-30,England,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/gb-eng.png
2922,/coach/2922/bruno-saltor-grau/,B. Saltor Grau,Bruno Saltor Grau,1980-10-01,Spain,https://cdn.sportmonks.com/images/soccer/players/10/2922.png,https://cdn.sofifa.net/flags/es.png
3038,/coach/3038/neil-harris/,N. Harris,Neil Harris,1977-07-12,England,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/gb-eng.png
3125,/coach/3125/tore-andre-flo/,T. Flo,Tore Andre Flo,1973-06-15,Norway,https://cdn.sportmonks.com/images/soccer/players/21/3125.png,https://cdn.sofifa.net/flags/no.png
3311,/coach/3311/paul-warne/,P. Warne,Paul Warne,1973-05-08,England,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/gb-eng.png
3428,/coach/3428/john-mousinho/,J. Mousinho,John Mousinho,1986-04-30,England,https://cdn.sportmonks.com/images/soccer/players/4/3428.png,https://cdn.sofifa.net/flags/gb-eng.png
3494,/coach/3494/lewis-jack-young/,L. Young,Lewis Jack Young,1989-09-27,England,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/gb-eng.png
3804,/coach/3804/ivan-gabriel-heinze/,I. Heinze,Iván Gabriel Heinze,1978-04-19,Argentina,https://cdn.sportmonks.com/images/soccer/players/28/3804.png,https://cdn.sofifa.net/flags/ar.png
4043,/coach/4043/mile-sterjovski/,M. Sterjovski,Mile Sterjovski,1979-05-27,Australia,https://cdn.sportmonks.com/images/soccer/players/11/4043.png,https://cdn.sofifa.net/flags/au.png
4115,/coach/4115/nuri-sahin/,N. Şahin,Nuri Şahin,1988-09-05,Turkey,https://cdn.sportmonks.com/images/soccer/players/19/4115.png,https://cdn.sofifa.net/flags/tr.png
4665,/coach/4665/steven-defour/,S. Defour,Steven Defour,1988-04-15,Belgium,https://cdn.sportmonks.com/images/soccer/players/25/4665.png,https://cdn.sofifa.net/flags/be.png
4724,/coach/4724/steven-maclean/,S. MacLean,Steven MacLean,1982-08-23,Scotland,https://cdn.sportmonks.com/images/soccer/players/20/4724.png,https://cdn.sofifa.net/flags/gb-sct.png
5097,/coach/5097/robbie-neilson/,R. Neilson,Robbie Neilson,1980-06-19,Scotland,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/gb-sct.png
5125,/coach/5125/david-gray/,D. Gray,David Gray,1988-05-04,Scotland,https://cdn.sportmonks.com/images/soccer/players/5/5125.png,https://cdn.sofifa.net/flags/gb-sct.png
5159,/coach/5159/joao-miguel-da-cunha-teixeira/,Moreno,João Miguel da Cunha Teixeira,1981-08-19,Portugal,https://cdn.sportmonks.com/images/soccer/players/7/5159.png,https://cdn.sofifa.net/flags/pt.png
5224,/coach/5224/ruben-zadkovich/,R. Zadkovich,Ruben Zadkovich,1986-05-23,Australia,https://cdn.sportmonks.com/images/soccer/players/8/5224.png,https://cdn.sofifa.net/flags/au.png
6711,/coach/6711/kevin-maher/,K. Maher,Kevin Maher,1976-10-17,Republic of Ireland,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/ie.png
7016,/coach/7016/nathan-jones/,N. Jones,Nathan Jones,1973-05-28,Wales,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/gb-wls.png
7101,/coach/7101/steven-schumacher/,S. Schumacher,Steven Schumacher,1984-04-30,England,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/gb-eng.png
7464,/coach/7464/matt-bloomfield/,M. Bloomfield,Matt Bloomfield,1984-02-08,England,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/gb-eng.png
8170,/coach/8170/ryan-lowe/,R. Lowe,Ryan Lowe,1978-09-18,England,https://cdn.sportmonks.com/images/soccer/players/10/8170.png,https://cdn.sofifa.net/flags/gb-eng.png
9054,/coach/9054/terry-dunfield/,T. Dunfield,Terry Dunfield,1982-02-20,Canada,https://cdn.sportmonks.com/images/soccer/players/30/9054.png,https://cdn.sofifa.net/flags/ca.png
9882,/coach/9882/graham-coughlan/,G. Coughlan,Graham Coughlan,1974-11-18,Republic of Ireland,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/ie.png
9954,/coach/9954/michael-david-jackson/,M. Jackson,Michael David Jackson,1979-12-14,England,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/gb-eng.png
10127,/coach/10127/paul-heckingbottom/,P. Heckingbottom,Paul Heckingbottom,1977-07-17,England,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/gb-eng.png
10249,/coach/10249/lee-bell/,L. Bell,Lee Bell,1983-01-26,England,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/gb-eng.png
16436,/coach/16436/daryl-mcmahon/,D. McMahon,Daryl McMahon,1982-10-10,Republic of Ireland,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/ie.png
20284,/coach/20284/darren-kelly/,D. Kelly,Darren Kelly,1979-06-30,Northern Ireland,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/gb-nir.png
22909,/coach/22909/gabriel-francisco-garcia-de-la-torre/,G. García de la Torre,Gabriel Francisco García de la Torre,1979-02-10,Spain,https://cdn.sportmonks.com/images/soccer/players/29/22909.png,https://cdn.sofifa.net/flags/es.png
23180,/coach/23180/arne-slot/,A. Slot,Arne Slot,1978-09-17,Netherlands,https://cdn.sportmonks.com/images/soccer/players/12/23180.png,https://cdn.sofifa.net/flags/nl.png
23237,/coach/23237/giovanni-van-bronckhorst/,G. van Bronckhorst,Giovanni van Bronckhorst,1975-02-05,Netherlands,https://cdn.sportmonks.com/images//soccer/coaches/5/23237.png,https://cdn.sofifa.net/flags/nl.png
23247,/coach/23247/stephan-keller/,S. Keller,Stephan Keller,1979-05-31,Switzerland,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/ch.png
23316,/coach/23316/danny-buijs/,D. Buijs,Danny Buijs,1982-06-21,Netherlands,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/nl.png
23395,/coach/23395/rick-kruijs/,R. Kruijs,Rick Kruijs,1985-05-09,Netherlands,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/nl.png
23435,/coach/23435/alfred-schreuder/,A. Schreuder,Alfred Schreuder,1972-02-11,Netherlands,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/nl.png
23707,/coach/23707/rogier-meijer/,R. Meijer,Rogier Meijer,1981-09-05,Netherlands,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/nl.png
23716,/coach/23716/kevin-hofland/,K. Hofland,Kevin Hofland,1979-07-06,Netherlands,https://cdn.sportmonks.com/images/soccer/players/4/23716.png,https://cdn.sofifa.net/flags/nl.png
23836,/coach/23836/patrick-kluivert/,P. Kluivert,Patrick Kluivert,1976-01-07,Netherlands,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/nl.png
23990,/coach/23990/arnar-vidharsson/,A. Viðarsson,Arnar Viðarsson,1978-03-15,Iceland,https://cdn.sportmonks.com/images/soccer/players/22/23990.png,https://cdn.sofifa.net/flags/is.png
24118,/coach/24118/hernan-pablo-losada/,H. Losada,Hernán Pablo Losada,1982-05-09,Argentina,https://cdn.sportmonks.com/images/soccer/players/22/24118.png,https://cdn.sofifa.net/flags/ar.png
24381,/coach/24381/mark-van-bommel/,M. van Bommel,Mark van Bommel,1977-04-22,Netherlands,https://cdn.sportmonks.com/images/soccer/players/29/24381.png,https://cdn.sofifa.net/flags/nl.png
29535,/coach/29535/bo-svensson/,B. Svensson,Bo Svensson,1979-08-04,Denmark,https://cdn.sportmonks.com/images/soccer/players/31/29535.png,https://cdn.sofifa.net/flags/dk.png
29560,/coach/29560/miroslav-klose/,M. Klose,Miroslav Klose,1978-06-09,Germany,https://cdn.sportmonks.com/images/soccer/players/24/29560.png,https://cdn.sofifa.net/flags/de.png
29582,/coach/29582/pal-dardai/,P. Dárdai,Pál Dárdai,1976-03-16,Hungary,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/hu.png
29608,/coach/29608/ludovic-magnin/,L. Magnin,Ludovic Magnin,1979-04-20,Switzerland,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/ch.png
29612,/coach/29612/alexander-frei/,A. Frei,Alexander Frei,1979-07-15,Switzerland,https://cdn.sportmonks.com/images/soccer/players/12/29612.png,https://cdn.sofifa.net/flags/ch.png
29676,/coach/29676/steffen-baumgart/,S. Baumgart,Steffen Baumgart,1972-01-05,Germany,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/de.png
29710,/coach/29710/marco-rose/,M. Rose,Marco Rose,1976-09-11,Germany,https://cdn.sportmonks.com/images//soccer/coaches/14/29710.png,https://cdn.sofifa.net/flags/de.png
29838,/coach/29838/steven-cherundolo/,S. Cherundolo,Steven Cherundolo,1979-02-19,United States,https://cdn.sportmonks.com/images/soccer/players/14/29838.png,https://cdn.sofifa.net/flags/us.png
29839,/coach/29839/christoph-dabrowski/,C. Dabrowski,Christoph Dabrowski,1978-07-01,Germany,https://cdn.sportmonks.com/images/soccer/players/15/29839.png,https://cdn.sofifa.net/flags/de.png
29842,/coach/29842/cristian-ramon-fiel-casanova/,C. Fiél Casanova,Cristian Ramon Fiél Casanova,1980-03-12,Spain,https://cdn.sportmonks.com/images/soccer/players/18/29842.png,https://cdn.sofifa.net/flags/es.png
30044,/coach/30044/christian-eichner/,C. Eichner,Christian Eichner,1982-11-24,Germany,https://cdn.sportmonks.com/images/soccer/players/28/30044.png,https://cdn.sofifa.net/flags/de.png
30314,/coach/30314/matthias-jaissle/,M. Jaissle,Matthias Jaissle,1988-04-05,Germany,https://cdn.sportmonks.com/images/soccer/players/10/30314.png,https://cdn.sofifa.net/flags/de.png
30333,/coach/30333/bradley-carnell/,B. Carnell,Bradley Carnell,1977-01-21,South Africa,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/za.png
30963,/coach/30963/ruud-van-nistelrooy/,R. van Nistelrooy,Ruud van Nistelrooy,1976-01-07,Netherlands,https://cdn.sportmonks.com/images/soccer/players/19/30963.png,https://cdn.sofifa.net/flags/nl.png
30996,/coach/30996/sandro-wagner/,S. Wagner,Sandro Wagner,1987-11-29,Germany,https://cdn.sportmonks.com/images/soccer/players/20/30996.png,https://cdn.sofifa.net/flags/de.png
31151,/coach/31151/timo-schultz/,T. Schultz,Timo Schultz,1977-08-26,Germany,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/de.png
31205,/coach/31205/jonas-de-roeck/,J. De Roeck,Jonas De Roeck,1979-12-20,Belgium,https://cdn.sportmonks.com/images/soccer/players/5/31205.png,https://cdn.sofifa.net/flags/be.png
31312,/coach/31312/ovidiu-nicusor-burca/,O. Burca,Ovidiu Nicusor Burca,1980-03-16,Romania,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/ro.png
32849,/coach/32849/dino-toppmoller/,D. Toppmöller,Dino Toppmöller,1980-11-23,Germany,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/de.png
33182,/coach/33182/stefan-leitl/,S. Leitl,Stefan Leitl,1977-08-29,Germany,https://cdn.sportmonks.com/images/soccer/players/30/33182.png,https://cdn.sofifa.net/flags/de.png
33525,/coach/33525/jacques-abardonado/,J. Abardonado,Jacques Abardonado,1978-05-25,France,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/fr.png
35399,/coach/35399/marcel-rapp/,M. Rapp,Marcel Rapp,1979-04-16,Germany,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/de.png
35468,/coach/35468/alparslan-erdem/,A. Erdem,Alparslan Erdem,1988-12-11,Turkey,https://cdn.sportmonks.com/images/soccer/players/12/35468.png,https://cdn.sofifa.net/flags/tr.png
35472,/coach/35472/tobias-schweinsteiger/,T. Schweinsteiger,Tobias Schweinsteiger,1982-03-12,Germany,https://cdn.sportmonks.com/images/soccer/players/16/35472.png,https://cdn.sofifa.net/flags/de.png
35513,/coach/35513/sreto-ristic/,S. Ristic,Sreto Ristic,1976-07-02,Serbia,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/rs.png
35564,/coach/35564/mersad-selimbegovic/,M. Selimbegovic,Mersad Selimbegovic,1982-04-29,Bosnia and Herzegovina,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/ba.png
35571,/coach/35571/alexander-blessin/,A. Blessin,Alexander Blessin,1973-05-28,Germany,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/de.png
37679,/coach/37679/fabian-hurzeler/,F. Hürzeler,Fabian Hürzeler,1993-02-26,United States,https://cdn.sportmonks.com/images/soccer/players/15/37679.png,https://cdn.sofifa.net/flags/us.png
38217,/coach/38217/sebastian-hoeness/,S. Hoeneß,Sebastian Hoeneß,1982-05-12,Germany,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/de.png
38879,/coach/38879/sargon-duran/,S. Duran,Sargon Duran,1987-01-31,Austria,https://cdn.sportmonks.com/images/soccer/players/31/38879.png,https://cdn.sofifa.net/flags/at.png
38927,/coach/38927/enrico-maassen/,E. Maaßen,Enrico Maaßen,1984-03-10,Germany,https://cdn.sportmonks.com/images//soccer/coaches/15/38927.png,https://cdn.sofifa.net/flags/de.png
39105,/coach/39105/jan-zimmermann/,J. Zimmermann,Jan Zimmermann,1979-10-05,Germany,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/de.png
39433,/coach/39433/michel-kniat/,M. Kniat,Michél Kniat,1985-11-18,Germany,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/de.png
45305,/coach/45305/pellegrino-matarazzo/,P. Matarazzo,Pellegrino Matarazzo,1977-11-28,United States,https://cdn.sportmonks.com/images//soccer/coaches/25/45305.png,https://cdn.sofifa.net/flags/us.png
51306,/coach/51306/ferdinand-feldhofer/,F. Feldhofer,Ferdinand Feldhofer,1979-10-23,Austria,https://cdn.sportmonks.com/images/soccer/players/10/51306.png,https://cdn.sofifa.net/flags/at.png
51400,/coach/51400/joachim-standfest/,J. Standfest,Joachim Standfest,1980-05-30,Austria,https://cdn.sportmonks.com/images/soccer/players/8/51400.png,https://cdn.sofifa.net/flags/at.png
51459,/coach/51459/mattias-lindstrom/,M. Lindström,Mattias Lindström,1980-04-18,Sweden,https://cdn.sportmonks.com/images/soccer/players/3/51459.png,https://cdn.sofifa.net/flags/se.png
51518,/coach/51518/oliver-glasner/,O. Glasner,Oliver Glasner,1974-08-28,Austria,https://cdn.sportmonks.com/images//soccer/coaches/30/51518.png,https://cdn.sofifa.net/flags/at.png
60303,/coach/60303/ivan-leko/,I. Leko,Ivan Leko,1978-02-07,Croatia,https://cdn.sportmonks.com/images/soccer/players/15/60303.png,https://cdn.sofifa.net/flags/hr.png
60307,/coach/60307/karel-geraerts/,K. Geraerts,Karel Geraerts,1982-01-05,Belgium,https://cdn.sportmonks.com/images/soccer/players/19/60307.png,https://cdn.sofifa.net/flags/be.png
60361,/coach/60361/mbaye-leye/,M. Leye,M'Baye Leye,1982-12-01,Senegal,https://cdn.sportmonks.com/images/soccer/players/9/60361.png,https://cdn.sofifa.net/flags/sn.png
60374,/coach/60374/vincent-euvrard/,V. Euvrard,Vincent Euvrard,1982-03-12,Belgium,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/be.png
60851,/coach/60851/wim-de-decker/,W. De Decker,Wim De Decker,1982-04-06,Belgium,https://cdn.sportmonks.com/images/soccer/players/19/60851.png,https://cdn.sofifa.net/flags/be.png
62986,/coach/62986/luis-garcia-fernandez/,L. García Fernández,Luis García Fernández,1981-02-06,Spain,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/es.png
74546,/coach/74546/sergej-jakirovic/,S. Jakirović,Sergej Jakirović,1976-12-23,Bosnia and Herzegovina,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/ba.png
77126,/coach/77126/dan-alexa/,D. Alexa,Dan Alexa,1979-10-28,Romania,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/ro.png
82956,/coach/82956/henrik-hansen/,H. Hansen,Henrik Hansen,1979-07-28,Denmark,https://cdn.sportmonks.com/images/soccer/players/12/82956.png,https://cdn.sofifa.net/flags/dk.png
82974,/coach/82974/brian-priske-pedersen/,B. Priske Pedersen,Brian Priske Pedersen,1977-05-14,Denmark,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/dk.png
84240,/coach/84240/martin-thomsen/,M. Thomsen,Martin Thomsen,1982-08-06,Denmark,https://cdn.sportmonks.com/images/soccer/players/16/84240.png,https://cdn.sofifa.net/flags/dk.png
90958,/coach/90958/toni-koskela/,T. Koskela,Toni Koskela,1983-02-16,Finland,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/fi.png
94064,/coach/94064/laurent-batlles/,L. Batlles,Laurent Batlles,1975-09-23,France,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/fr.png
94105,/coach/94105/cristiano-marques-gomes/,C. Marques Gomes,Cristiano Marques Gomes,1977-06-03,Brazil,https://cdn.sportmonks.com/images/soccer/players/25/94105.png,https://cdn.sofifa.net/flags/br.png
94233,/coach/94233/vincent-hognon/,V. Hognon,Vincent Hognon,1974-08-16,France,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/fr.png
94328,/coach/94328/paulo-cesar-da-silva-peixoto/,P. da Silva Peixoto,Paulo César da Silva Peixoto,1980-05-12,Portugal,https://cdn.sportmonks.com/images/soccer/players/24/94328.png,https://cdn.sofifa.net/flags/pt.png
94575,/coach/94575/fabio-grosso/,F. Grosso,Fabio Grosso,1977-11-28,Italy,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/it.png
95058,/coach/95058/luis-oscar-gonzalez/,L. González,Luis Oscar González,1981-01-19,Argentina,https://cdn.sportmonks.com/images/soccer/players/18/95058.png,https://cdn.sofifa.net/flags/ar.png
95212,/coach/95212/bruno-grougi/,B. Grougi,Bruno Grougi,1983-04-26,France,https://cdn.sportmonks.com/images/soccer/players/12/95212.png,https://cdn.sofifa.net/flags/fr.png
